Borough,Date,Neighborhood,Positive,Test Positive Rate,Total,ZIPCODE,zcta_cum.perc_pos
Manhattan,2020-04-03,Upper East Side,220,0.4,550,10028,40.0
Manhattan,2020-04-03,East Harlem,373,0.4622057,807,10029,46.22
Manhattan,2020-04-03,Central Harlem,135,0.546558704,247,10030,54.66
Manhattan,2020-04-03,Inwood and Washington Heights,288,0.5783132529999999,498,10031,57.83
Manhattan,2020-04-03,Inwood and Washington Heights,389,0.580597015,670,10032,58.06
Manhattan,2020-04-03,Inwood and Washington Heights,342,0.576728499,593,10033,57.67
Manhattan,2020-04-03,Inwood and Washington Heights,152,0.46769230799999995,325,10034,46.77
Manhattan,2020-04-03,East Harlem,216,0.477876106,452,10035,47.79
Manhattan,2020-04-03,Chelsea and Clinton,150,0.453172205,331,10036,45.32
Manhattan,2020-04-03,Central Harlem,101,0.490291262,206,10037,49.03
Manhattan,2020-04-03,Lower Manhattan,93,0.46969697,198,10038,46.97
Manhattan,2020-04-03,Central Harlem,141,0.520295203,271,10039,52.03
Manhattan,2020-04-03,Inwood and Washington Heights,256,0.5939675170000001,431,10040,59.4
Manhattan,2020-04-03,Upper East Side,59,0.437037037,135,10044,43.7
Manhattan,2020-04-03,Upper East Side,158,0.343478261,460,10065,34.35
Manhattan,2020-04-03,Upper East Side,188,0.450839329,417,10075,45.08
Manhattan,2020-04-03,Upper East Side,267,0.386956522,690,10128,38.7
Manhattan,2020-04-03,Lower Manhattan,19,0.327586207,58,10280,32.76
Staten Islan,2020-04-03,Stapleton and St. George,235,0.5555555560000001,423,10301,55.56
Staten Islan,2020-04-03,Port Richmond,94,0.502673797,187,10302,50.27
Staten Islan,2020-04-03,Port Richmond,144,0.493150685,292,10303,49.32
Staten Islan,2020-04-03,Stapleton and St. George,376,0.5637181410000001,667,10304,56.37
Staten Islan,2020-04-03,Stapleton and St. George,258,0.45989304799999997,561,10305,45.99
Staten Islan,2020-04-03,South Shore,351,0.458823529,765,10306,45.88
Staten Islan,2020-04-03,South Shore,93,0.5,186,10307,50.0
Staten Islan,2020-04-03,South Shore,184,0.45208845200000003,407,10308,45.21
Staten Islan,2020-04-03,South Shore,215,0.474613687,453,10309,47.46
Staten Islan,2020-04-03,Port Richmond,129,0.47955390299999995,269,10310,47.96
Staten Islan,2020-04-03,South Shore,418,0.521197007,802,10312,52.12
Staten Islan,2020-04-03,Mid-Island,619,0.508210181,1218,10314,50.82
Bronx,2020-04-03,High Bridge and Morrisania,336,0.539325843,623,10451,53.93
Bronx,2020-04-03,High Bridge and Morrisania,509,0.617718447,824,10452,61.77
Bronx,2020-04-03,Central Bronx,527,0.623668639,845,10453,62.37
Bronx,2020-04-03,Hunts Point and Mott Haven,245,0.5555555560000001,441,10454,55.56
Bronx,2020-04-03,Hunts Point and Mott Haven,233,0.539351852,432,10455,53.94
Bronx,2020-04-03,High Bridge and Morrisania,500,0.564334086,886,10456,56.43
Bronx,2020-04-03,Central Bronx,427,0.574697174,743,10457,57.47
Bronx,2020-04-03,Bronx Park and Fordham,453,0.56625,800,10458,56.62
Bronx,2020-04-03,Hunts Point and Mott Haven,309,0.578651685,534,10459,57.87
Bronx,2020-04-03,Central Bronx,344,0.553054662,622,10460,55.31
Bronx,2020-04-03,Southeast Bronx,444,0.524822695,846,10461,52.48
Bronx,2020-04-03,Southeast Bronx,544,0.535960591,1015,10462,53.6
Bronx,2020-04-03,Kingsbridge and Riverdale,327,0.419230769,780,10463,41.92
Bronx,2020-04-03,Southeast Bronx,30,0.41666666700000005,72,10464,41.67
Bronx,2020-04-03,Southeast Bronx,389,0.483229814,805,10465,48.32
Bronx,2020-04-03,Northeast Bronx,510,0.57367829,889,10466,57.37
Bronx,2020-04-03,Bronx Park and Fordham,836,0.578146611,1446,10467,57.81
Bronx,2020-04-03,Bronx Park and Fordham,529,0.6645728639999999,796,10468,66.46
Bronx,2020-04-03,Northeast Bronx,683,0.610366399,1119,10469,61.04
Bronx,2020-04-03,Northeast Bronx,108,0.534653465,202,10470,53.47
Bronx,2020-04-03,Kingsbridge and Riverdale,130,0.379008746,343,10471,37.9
Bronx,2020-04-03,Southeast Bronx,417,0.613235294,680,10472,61.32
Bronx,2020-04-03,Southeast Bronx,437,0.575,760,10473,57.5
Bronx,2020-04-03,Hunts Point and Mott Haven,71,0.591666667,120,10474,59.17
Bronx,2020-04-03,Northeast Bronx,360,0.593080725,607,10475,59.31
Queens,2020-04-03,Southeast Queens,274,0.697201018,393,11429,69.72
Queens,2020-04-03,Southeast Queens,173,0.624548736,277,11004,62.45
Queens,2020-04-03,Northwest Queens,201,0.48201438799999996,417,11101,48.2
Queens,2020-04-03,Northwest Queens,153,0.5168918920000001,296,11102,51.69
Queens,2020-04-03,Northwest Queens,140,0.53030303,264,11103,53.03
Queens,2020-04-03,Northwest Queens,136,0.581196581,234,11104,58.12
Queens,2020-04-03,Northwest Queens,136,0.451827243,301,11105,45.18
Queens,2020-04-03,Northwest Queens,182,0.514124294,354,11106,51.41
Brooklyn,2020-04-03,Northwest Brooklyn,236,0.43223443200000006,546,11201,43.22
Brooklyn,2020-04-03,Flatbush,466,0.63229308,737,11203,63.23
Brooklyn,2020-04-03,Borough Park,712,0.6080273270000001,1171,11204,60.8
Brooklyn,2020-04-03,Northwest Brooklyn,242,0.587378641,412,11205,58.74
Brooklyn,2020-04-03,Bushwick and Williamsburg,411,0.574022346,716,11206,57.4
Brooklyn,2020-04-03,East New York and New Lots,479,0.600250627,798,11207,60.03
Brooklyn,2020-04-03,East New York and New Lots,520,0.6549118389999999,794,11208,65.49
Brooklyn,2020-04-03,Southwest Brooklyn,292,0.481848185,606,11209,48.18
Brooklyn,2020-04-03,Flatbush,524,0.610011641,859,11210,61.0
Brooklyn,2020-04-03,Greenpoint,788,0.643265306,1225,11211,64.33
Brooklyn,2020-04-03,Central Brooklyn,395,0.625,632,11212,62.5
Brooklyn,2020-04-03,Central Brooklyn,498,0.64507772,772,11213,64.51
Brooklyn,2020-04-03,Southwest Brooklyn,347,0.5021707670000001,691,11214,50.22
Brooklyn,2020-04-03,Northwest Brooklyn,203,0.41176470600000004,493,11215,41.18
Brooklyn,2020-04-03,Central Brooklyn,210,0.53030303,396,11216,53.03
Brooklyn,2020-04-03,Northwest Brooklyn,161,0.501557632,321,11217,50.16
Brooklyn,2020-04-03,Borough Park,499,0.582943925,856,11218,58.29
Brooklyn,2020-04-03,Borough Park,1037,0.69737727,1487,11219,69.74
Brooklyn,2020-04-03,Sunset Park,402,0.614678899,654,11220,61.47
Brooklyn,2020-04-03,Bushwick and Williamsburg,335,0.591872792,566,11221,59.19
Brooklyn,2020-04-03,Greenpoint,131,0.450171821,291,11222,45.02
Brooklyn,2020-04-03,Southern Brooklyn,474,0.5524475520000001,858,11223,55.24
Brooklyn,2020-04-03,Southern Brooklyn,195,0.49744898,392,11224,49.74
Brooklyn,2020-04-03,Flatbush,353,0.654916512,539,11225,65.49
Brooklyn,2020-04-03,Flatbush,485,0.617048346,786,11226,61.7
Brooklyn,2020-04-03,Southwest Brooklyn,158,0.526666667,300,11228,52.67
Brooklyn,2020-04-03,Southern Brooklyn,423,0.5209359610000001,812,11229,52.09
Brooklyn,2020-04-03,Borough Park,848,0.635682159,1334,11230,63.57
Brooklyn,2020-04-03,Northwest Brooklyn,154,0.485804416,317,11231,48.58
Brooklyn,2020-04-03,Sunset Park,141,0.635135135,222,11232,63.51
Brooklyn,2020-04-03,Central Brooklyn,302,0.612576065,493,11233,61.26
Brooklyn,2020-04-03,Canarsie and Flatlands,531,0.566702241,937,11234,56.67
Brooklyn,2020-04-03,Southern Brooklyn,421,0.50059453,841,11235,50.06
Brooklyn,2020-04-03,Canarsie and Flatlands,618,0.631256384,979,11236,63.13
Brooklyn,2020-04-03,Bushwick and Williamsburg,235,0.667613636,352,11237,66.76
Brooklyn,2020-04-03,Central Brooklyn,253,0.544086022,465,11238,54.41
Brooklyn,2020-04-03,Canarsie and Flatlands,128,0.684491979,187,11239,68.45
Queens,2020-04-03,North Queens,230,0.536130536,429,11357,53.61
Queens,2020-04-03,North Queens,308,0.620967742,496,11355,62.1
Queens,2020-04-03,North Queens,205,0.557065217,368,11354,55.71
Queens,2020-04-03,North Queens,151,0.5243055560000001,288,11356,52.43
Queens,2020-04-03,North Queens,158,0.49375,320,11358,49.38
Queens,2020-04-03,North Queens,86,0.43654822299999996,197,11360,43.65
Queens,2020-04-03,Northeast Queens,118,0.515283843,229,11361,51.53
Queens,2020-04-03,Northeast Queens,88,0.455958549,193,11362,45.6
Queens,2020-04-03,Northeast Queens,33,0.428571429,77,11363,42.86
Queens,2020-04-03,Northeast Queens,149,0.537906137,277,11364,53.79
Queens,2020-04-03,Central Queens,229,0.54784689,418,11365,54.78
Queens,2020-04-03,Central Queens,152,0.612903226,248,11366,61.29
Queens,2020-04-03,Central Queens,403,0.63866878,631,11367,63.87
Queens,2020-04-03,West Queens,1245,0.775700935,1605,11368,77.57
Queens,2020-04-03,West Queens,464,0.7447833070000001,623,11369,74.48
Queens,2020-04-03,West Queens,510,0.5472103,932,11370,54.72
Queens,2020-04-03,West Queens,697,0.723779855,963,11372,72.38
Queens,2020-04-03,West Queens,841,0.6842961759999999,1229,11373,68.43
Queens,2020-04-03,West Central Queens,419,0.610787172,686,11374,61.08
Queens,2020-04-03,West Central Queens,559,0.5333969470000001,1048,11375,53.34
Queens,2020-04-03,West Queens,515,0.619735259,831,11377,61.97
Queens,2020-04-03,West Queens,198,0.560906516,353,11378,56.09
Queens,2020-04-03,West Central Queens,252,0.552631579,456,11379,55.26
