id,Country,2021-10-09,2021-10-16,2021-10-23,2021-10-30,2021-11-06,2021-11-13,2021-11-20,2021-11-27,2021-12-04,2021-12-11,2021-12-18,2021-12-25,2022-01-01,2022-01-08
80,"Jordan",832519,839956,847948,856547,865691,875347,885376,895691,906105,916511,926711,936604,946018,954885
81,"Kazakhstan",979873,990838,999602,1006431,1011629,1015487,1018283,1020259,1021624,1022541,1023144,1023530,1023771,1023918
82,"Kenya",251282,252672,253942,255135,256282,257410,258537,259678,260844,262041,263274,264546,265855,267200
83,"Korea, South",321351,321351,321351,321351,321351,321351,321351,321351,321351,321351,321351,321351,321351,321351
84,"Kuwait",412076,412373,412657,412929,413188,413435,413671,413896,414111,414316,414511,414698,414876,415045
85,"Kyrgyzstan",179094,179489,179838,180143,180408,180636,180831,180996,181135,181251,181347,181426,181490,181541
86,"Latvia",168067,178635,192196,209130,229637,253495,280165,308563,337434,365313,391039,413693,432905,448598
87,"Lebanon",628710,631931,634785,637270,639399,641193,642680,643891,644862,645627,646221,646672,647011,647260
88,"Liberia",5800,5801,5802,5802,5802,5802,5802,5802,5802,5802,5802,5802,5802,5802
89,"Liechtenstein",3455,3457,3459,3459,3460,3460,3460,3460,3460,3460,3460,3460,3460,3460
90,"Lithuania",347599,361259,375784,390775,405771,420326,434020,446527,457612,467164,475166,481693,486878,490895
91,"Luxembourg",78952,79562,80175,80785,81387,81974,82541,83084,83599,84083,84532,84946,85324,85665
92,"Madagascar",42898,42898,42898,42898,42898,42898,42898,42898,42898,42898,42898,42898,42898,42898
93,"Malaysia",2332933,2387224,2429207,2460891,2484116,2500614,2511895,2519273,2523861,2526550,2528026,2528778,2529129,2529278
94,"Maldives",85523,86036,86476,86848,87161,87423,87640,87818,87964,88082,88176,88252,88312,88360
95,"Malta",37293,37378,37446,37498,37537,37567,37588,37603,37613,37620,37624,37627,37629,37630
96,"Mauritania",36319,36482,36595,36672,36723,36756,36776,36789,36797,36801,36803,36805,36806,36806
97,"Mauritius",15979,16167,16278,16344,16381,16403,16415,16422,16425,16427,16428,16429,16429,16429
98,"Mexico",3716426,3755890,3789425,3817652,3841202,3860669,3876619,3889567,3899985,3908289,3914849,3919982,3923961,3927017
99,"Moldova",304424,313297,322366,331424,340259,348685,356535,363694,370083,375674,380469,384509,387851,390571
100,"Monaco",3327,3341,3354,3367,3380,3393,3406,3420,3434,3450,3467,3486,3507,3531
