id,Country,2020-01-25,2020-02-01,2020-02-08,2020-02-15,2020-02-22,2020-02-29,2020-03-07,2020-03-14,2020-03-21,2020-03-28,2020-04-04,2020-04-11,2020-04-18,2020-04-25,2020-05-02,2020-05-09,2020-05-16,2020-05-23,2020-05-30,2020-06-06,2020-06-13,2020-06-20,2020-06-27,2020-07-04,2020-07-11,2020-07-18,2020-07-25,2020-08-01,2020-08-08,2020-08-15,2020-08-22,2020-08-29,2020-09-05,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07,2020-11-14,2020-11-21,2020-11-28,2020-12-05,2020-12-12,2020-12-19,2020-12-26,2021-01-02,2021-01-09,2021-01-16,2021-01-23,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01,2021-05-08,2021-05-15,2021-05-22,2021-05-29,2021-06-05,2021-06-12,2021-06-19,2021-06-26,2021-07-03,2021-07-10,2021-07-17,2021-07-24,2021-07-31,2021-08-07,2021-08-14,2021-08-21,2021-08-28,2021-09-04,2021-09-11,2021-09-18,2021-09-25,2021-10-02,2021-10-09,2021-10-16,2021-10-23,2021-10-30,2021-11-06,2021-11-13,2021-11-20,2021-11-27,2021-12-04,2021-12-11,2021-12-18,2021-12-25,2022-01-01,2022-01-08,2022-01-15,2022-01-22,2022-01-29,2022-02-05,2022-02-12,2022-02-19,2022-02-26,2022-03-05,2022-03-12,2022-03-19,2022-03-26,2022-04-02,2022-04-09,2022-04-16,2022-04-23,2022-04-30,2022-05-07,2022-05-14,2022-05-21,2022-05-28
121,"Portugal",0,0,0,0,0,0,0,0,12,100,266,470,687,880,1023,1126,1203,1302,1396,1474,1512,1528,1561,1605,1654,1684,1716,1737,1750,1775,1794,1818,1838,1860,1899,1944,1995,2067,2162,2297,2507,2848,3305,3824,4363,4876,5461,6063,6556,7045,7701,8709,10194,12179,13954,15183,15897,16276,16512,16669,16762,16827,16875,16910,16942,16959,16976,16991,17006,17017,17023,17032,17045,17062,17083,17112,17148,17199,17284,17361,17457,17549,17630,17711,17785,17853,17902,17952,17986,18034,18088,18129,18156,18198,18242,18310,18405,18514,18645,18753,18861,18976,19091,19270,19539,19827,20171,20492,20796,21001,21182,21285,21408,21545,21716,21874,21993,22162,22280,22420,22583,22754,22981
122,"Qatar",0,0,0,0,0,0,0,0,0,1,3,6,8,10,12,13,15,21,36,51,70,94,110,123,146,154,164,174,182,192,193,196,202,205,209,214,216,219,223,229,232,232,234,235,237,239,240,243,244,245,246,246,248,248,250,255,256,257,262,265,272,284,301,331,376,418,465,502,526,543,554,566,576,582,588,592,599,599,600,601,601,601,601,602,602,604,604,604,606,607,608,608,610,611,611,611,611,611,612,614,614,618,618,624,633,645,652,656,662,667,670,675,677,677,677,677,677,677,677,677,677,677,677
123,"Romania",0,0,0,0,0,0,0,0,0,37,146,291,421,601,771,939,1094,1176,1259,1322,1394,1500,1589,1731,1871,2009,2165,2379,2659,2954,3233,3539,3850,4127,4402,4687,4947,5358,5812,6318,6968,7793,8813,9916,11045,12186,13264,14296,15108,15919,16592,17164,17722,18264,18809,19325,19795,20287,20854,21439,22132,22997,23973,25006,26072,27267,28194,28903,29485,29885,30247,30725,31804,32308,33177,33925,34216,34252,34267,34281,34313,34342,34403,34509,34678,34961,35456,36230,37394,39209,41482,44290,47324,50482,52836,54838,56169,57021,57531,58143,58536,58779,58997,59212,59525,59932,60560,61520,62471,63294,63931,64335,64669,64895,65079,65198,65331,65421,65486,65551,65606,65651,65677
124,"Russia",0,0,0,0,0,0,0,0,1,4,43,106,313,681,1222,1827,2537,3388,4555,5717,6819,7992,8958,10011,11188,12228,13172,14034,14827,15585,16268,16977,17707,18426,19270,20140,21153,22331,23857,25647,27787,30010,32536,35442,38676,42228,45923,49744,53539,57235,60523,64134,67919,71556,75010,78403,81517,84330,87253,90169,93090,95792,98363,100949,103451,106108,108675,111097,113541,116144,118781,121365,123961,126761,130479,134987,139896,145222,150583,155952,161343,166795,172257,177679,183117,188546,193891,199450,205297,211627,218362,225417,233063,241095,249415,257891,266337,274648,282713,290340,297223,303496,309041,314166,318869,323452,328014,332727,337860,343178,348467,353054,356812,359693,362008,364011,365774,367203,368319,369236,369961,370642,371223
125,"Rwanda",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,3,4,5,5,5,6,8,11,16,18,22,26,29,29,30,34,34,35,36,42,46,47,51,56,59,72,98,118,140,172,193,217,236,247,261,267,276,287,301,311,314,322,328,335,338,343,349,352,359,370,379,411,465,551,638,727,808,881,949,1010,1074,1117,1158,1206,1248,1281,1304,1313,1320,1328,1332,1338,1340,1342,1343,1344,1344,1346,1351,1373,1403,1432,1438,1446,1450,1455,1457,1458,1459,1459,1459,1459,1459,1459,1459,1459,1459,1459,1459,1459
126,"Saint Lucia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,4,5,5,5,5,8,10,13,18,23,28,35,43,48,55,58,61,64,67,70,74,75,75,77,77,80,80,80,84,84,86,87,88,89,90,95,97,103,116,132,150,183,207,224,236,240,255,260,269,278,280,282,283,291,295,301,306,314,316,326,341,347,356,358,360,365,365,365,365,365,367,368,368,368,368,368,371
127,"Saint Vincent and the Grenadines",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,6,6,8,8,8,9,10,10,10,10,10,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,14,17,26,33,47,60,66,69,71,73,74,74,77,77,81,81,84,85,90,93,99,102,104,106,106,106,106,106,106,106,106,106,106,106,106,106,106
128,"San Marino",0,0,0,0,0,1,1,5,20,22,32,34,38,40,41,41,41,41,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,43,44,47,50,55,57,59,64,65,65,65,69,72,72,73,76,77,79,84,84,85,86,89,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,91,91,91,91,92,92,92,93,93,93,94,95,98,100,103,103,107,109,109,110,112,112,112,112,112,112,113,114,114,114,115,115,115,115,115
129,"Saudi Arabia",0,0,0,0,0,0,0,0,0,4,29,52,92,136,176,239,302,379,480,676,932,1230,1511,1858,2181,2447,2703,2887,3130,3369,3619,3840,4049,4240,4458,4655,4850,5018,5165,5281,5402,5525,5641,5761,5870,5954,6036,6112,6176,6239,6286,6318,6350,6372,6397,6429,6457,6488,6524,6563,6602,6643,6690,6747,6810,6887,6968,7059,7147,7237,7334,7440,7553,7663,7760,7863,7963,8063,8155,8237,8311,8388,8457,8512,8512,8610,8651,8694,8716,8743,8760,8776,8793,8803,8811,8823,8832,8842,8852,8861,8870,8878,8892,8905,8918,8933,8953,8971,8982,8994,9006,9017,9027,9038,9047,9055,9068,9076,9088,9099,9114,9128,9143
130,"Senegal",0,0,0,0,0,0,0,0,0,0,2,2,3,7,9,17,25,34,42,47,60,82,102,129,145,163,187,209,229,251,266,282,290,295,302,306,312,314,317,321,324,326,327,330,332,337,349,361,387,416,459,509,569,621,675,741,795,866,907,955,1007,1034,1063,1077,1090,1099,1109,1117,1124,1130,1138,1145,1150,1158,1163,1171,1190,1214,1269,1353,1467,1587,1659,1742,1794,1828,1845,1855,1859,1868,1871,1877,1878,1880,1881,1883,1885,1886,1886,1886,1890,1890,1896,1908,1923,1941,1955,1956,1958,1960,1961,1964,1964,1964,1964,1965,1965,1966,1967,1966,1966,1966,1966
131,"Serbia",0,0,0,0,0,0,0,0,1,10,44,74,117,151,189,215,228,238,242,248,253,260,267,306,382,461,518,582,632,670,695,710,723,731,740,746,753,762,774,789,820,880,989,1168,1484,1891,2275,2632,2983,3288,3513,3730,3868,4000,4112,4214,4321,4429,4542,4694,4900,5151,5422,5700,5954,6196,6386,6519,6664,6766,6844,6909,6958,6997,7029,7055,7070,7080,7103,7114,7135,7163,7206,7257,7358,7520,7733,8008,8331,8683,9052,9448,9890,10336,10781,11166,11537,11876,12148,12364,12568,12739,12890,13045,13239,13513,13928,14366,14728,15155,15405,15570,15676,15746,15818,15877,15923,15953,15991,16024,16046,16063,16078
132,"Seychelles",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,5,7,10,11,13,15,16,18,22,23,25,25,27,28,30,38,38,42,42,52,55,57,68,75,79,79,91,91,98,102,103,106,106,110,112,118,119,119,119,119,122,125,125,127,129,131,131,134,134,136,143,149,154,157,159,160,163,163,163,163,164,164,164,165,166,166,167,167,167
133,"Singapore",0,0,0,0,0,0,0,0,2,2,6,8,11,12,17,20,22,23,23,25,26,26,26,26,26,27,27,27,27,27,27,27,27,27,27,27,27,27,28,28,28,28,28,28,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,30,30,30,30,30,30,30,31,31,31,32,32,33,34,34,36,36,36,36,37,37,42,44,47,55,55,58,60,76,107,153,224,300,394,480,576,654,690,746,789,810,821,829,837,843,847,854,866,893,941,999,1073,1139,1194,1246,1272,1299,1313,1325,1335,1350,1362,1374,1383
134,"Slovakia",0,0,0,0,0,0,0,0,1,0,1,2,11,17,24,26,28,28,28,28,28,28,28,28,28,28,28,29,31,31,33,33,37,38,39,44,54,61,82,159,219,351,510,644,798,981,1148,1510,1732,2250,2836,3417,3965,4565,5135,5812,6424,7075,7739,8440,8978,9426,9948,10487,11043,11458,11732,11990,12203,12286,12333,12395,12436,12478,12505,12513,12519,12524,12534,12540,12541,12544,12547,12548,12549,12558,12569,12596,12649,12729,12816,12895,13018,13205,13485,13818,14228,14771,15304,15931,16336,16665,16933,17252,17612,17796,17938,18081,18225,18413,18663,18881,19093,19251,19392,19549,19721,19829,19879,19968,20018,20075,20096
135,"Slovenia",0,0,0,0,0,0,0,1,1,9,22,50,70,81,94,101,103,106,108,109,109,109,109,111,111,111,116,119,126,129,131,133,135,135,141,146,155,167,184,235,338,531,765,1026,1336,1700,2041,2314,2532,2774,2973,3140,3329,3490,3612,3705,3769,3836,3888,3929,3967,4011,4068,4112,4153,4203,4258,4286,4320,4349,4372,4387,4401,4412,4419,4419,4423,4425,4427,4429,4431,4433,4438,4448,4455,4469,4494,4531,4569,4607,4635,4678,4739,4820,4920,5044,5165,5290,5394,5483,5535,5597,5650,5696,5751,5846,5959,6074,6184,6276,6351,6404,6435,6471,6498,6531,6556,6576,6592,6611,6622,6628,6636
136,"Somalia",0,0,0,0,0,0,0,0,0,0,0,1,7,18,31,48,55,61,73,82,87,88,90,92,92,93,93,93,93,93,93,97,97,98,98,99,99,99,99,102,104,107,107,108,113,121,121,124,127,130,130,130,130,130,134,148,194,231,294,349,419,488,537,605,656,689,713,747,753,767,768,773,774,775,775,775,775,781,789,811,847,878,897,953,997,1023,1063,1103,1111,1152,1180,1180,1208,1294,1313,1324,1327,1331,1333,1333,1333,1333,1335,1335,1335,1335,1335,1340,1345,1348,1348,1359,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361
137,"South Africa",0,0,0,0,0,0,0,0,0,1,9,25,52,86,123,186,261,407,643,952,1423,1877,2413,3026,3971,4948,6655,8153,10210,11677,12987,13981,14779,15427,15940,16376,16938,17673,18408,18944,19276,19789,20206,20845,21439,22067,23106,24539,26521,29175,32824,36851,40574,43951,46180,47821,48940,49941,50647,51261,52082,52648,52954,53256,53711,54125,54406,54687,55183,55772,56363,56929,57706,58590,59778,61507,64138,66676,69488,72013,74623,76869,79251,81461,83343,84751,86116,87001,87753,88292,88587,88914,89163,89319,89476,89572,89791,89965,90116,90345,90773,91198,92371,93278,94063,94905,95817,96985,98617,99191,99543,99712,99879,99965,100032,100096,100144,100298,100363,100516,100753,100931,101142
138,"Spain",0,0,0,0,0,0,10,195,1375,5982,11947,16606,20043,22902,25100,26478,27563,28678,27125,27135,27136,28322,28341,28385,28403,28420,28432,28445,28503,28617,28838,29011,29418,29747,30495,31232,32086,32929,33775,34752,35878,38833,40769,42619,44668,46252,47624,48926,49824,50837,51874,53314,55441,58319,61386,64747,67101,69142,71138,72258,72910,75010,75698,76328,76981,77591,78216,78792,79339,79620,79905,80196,80501,80652,80779,80911,81003,81096,81221,81486,82006,82470,83136,84000,84795,85290,85783,86229,86463,86778,86974,87132,87368,87504,87673,87810,87955,88159,88381,88708,89019,89405,89934,90759,91741,92966,94040,95995,97998,99410,100413,101135,101703,102392,102541,103104,103104,103908,104456,104869,105444,105952,106341
139,"Sri Lanka",0,0,0,0,0,0,0,0,0,1,5,7,7,7,7,9,9,9,10,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12,13,13,13,13,13,15,20,34,53,83,109,137,149,171,187,211,229,256,280,313,351,390,435,464,493,526,544,558,575,595,615,638,687,786,941,1178,1363,1656,2073,2534,2905,3191,3467,3733,4054,4436,5017,5936,7183,8583,9806,11152,12022,12609,13019,13296,13472,13593,13725,13841,13972,14108,14278,14440,14595,14734,14871,14997,15112,15197,15284,15400,15572,15777,15969,16166,16321,16390,16426,16454,16480,16489,16495,16502,16504,16509,16511,16512,16515
140,"Sudan",0,0,0,0,0,0,0,1,1,1,2,2,10,17,41,64,97,146,262,359,447,521,572,608,650,673,717,752,773,796,815,823,832,834,836,836,836,836,836,837,837,837,1116,1193,1235,1290,1344,1425,1468,1468,1468,1576,1603,1804,1831,1849,1864,1880,1895,1940,1959,2028,2063,2063,2208,2300,2349,2365,2446,2568,2600,2662,2719,2737,2750,2760,2760,2776,2776,2776,2776,2804,2820,2831,2837,2837,2875,2894,2904,2951,3038,3099,3099,3099,3099,3099,3114,3164,3208,3252,3298,3331,3340,3358,3393,3422,3588,3831,3831,3901,3912,4865,4888,4901,4907,4907,4929,4930,4931,4933,4936,4937,4941
141,"Suriname",0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,3,8,11,14,18,20,23,26,29,42,57,67,76,93,97,102,106,107,109,109,111,113,114,116,117,117,117,118,119,123,132,141,148,154,160,166,168,170,175,176,176,177,177,179,187,195,204,214,224,245,288,339,393,454,499,541,575,607,628,649,662,680,697,714,735,761,803,845,901,960,1014,1058,1090,1112,1133,1146,1164,1170,1176,1183,1186,1190,1196,1212,1237,1260,1279,1298,1309,1316,1318,1321,1323,1324,1325,1325,1325,1327,1328,1328,1337,1339,1341
142,"Sweden",0,0,0,0,0,0,0,5,49,239,373,887,1511,2192,2669,3220,3674,3992,4395,4656,4874,5053,5280,5420,5526,5619,5697,5743,5763,5783,5810,5821,5835,5846,5865,5880,5895,5894,5918,5933,5938,6022,6164,6406,6681,7067,7514,7993,8279,8727,9433,10323,11005,11591,12115,12428,12649,12826,13003,13146,13262,13402,13498,13621,13788,13923,14048,14173,14275,14366,14451,14523,14574,14574,14619,14631,14643,14646,14651,14655,14657,14658,14668,14685,14692,14703,14775,14821,14868,14905,14956,14993,15025,15057,15082,15110,15145,15170,15191,15231,15265,15310,15377,15513,15674,15855,16180,16501,16852,17142,17512,17798,18053,18189,18365,18506,18605,18689,18772,18824,18897,18941,18977
143,"Switzerland",0,0,0,0,0,0,1,14,98,329,719,1087,1366,1581,1688,1745,1768,1789,1796,1796,1802,1805,1808,1810,1813,1815,1822,1828,1833,1838,1842,1846,1853,1870,1890,1903,1913,1927,1973,2096,2378,2908,3567,4235,4857,5494,6137,6803,7432,8009,8459,8871,9224,9487,9688,9835,9935,10009,10067,10132,10195,10255,10323,10392,10441,10495,10565,10612,10639,10681,10710,10728,10748,10762,10771,10773,10774,10778,10781,10793,10797,10810,10838,10878,10920,10951,10999,11043,11093,11120,11157,11181,11233,11274,11325,11382,11470,11589,11748,11909,12064,12220,12337,12469,12582,12680,12782,12933,13016,13082,13174,13266,13328,13507,13572,13607,13647,13676,13712,13726,13781,13791,13794
144,"Tanzania",0,0,0,0,0,0,0,0,0,0,1,3,5,10,16,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,50,50,50,50,50,50,50,719,723,724,724,725,725,725,727,730,730,734,734,734,737,740,740,753,778,789,792,796,798,798,800,800,800,800,800,803,803,803,803,840,840,840
145,"Thailand",0,0,0,0,0,0,1,1,1,6,20,35,47,51,54,56,56,56,57,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,59,59,59,59,59,59,59,60,60,60,60,60,60,60,60,64,67,70,72,77,79,80,83,83,85,86,90,93,95,97,100,129,224,382,565,759,988,1213,1431,1609,1870,2182,2625,3240,3930,4857,6066,7343,9087,10879,12631,14173,15246,16143,16937,17607,18205,18699,19158,19611,19989,20358,20677,20917,21151,21355,21558,21708,21813,21916,22019,22145,22291,22436,22624,22891,23235,23709,24246,24799,25415,26083,26882,27775,28617,29088,29472,29746,29972
146,"Togo",0,0,0,0,0,0,0,0,0,1,3,3,5,6,9,10,11,12,13,13,13,13,14,15,15,15,17,19,23,27,27,27,32,37,41,46,48,49,51,52,57,57,61,64,64,65,66,66,68,68,72,73,74,77,79,80,81,83,90,93,102,107,110,116,119,121,123,124,125,125,125,125,126,127,128,130,133,137,143,152,157,165,172,177,193,205,213,222,230,235,238,242,242,243,243,243,243,243,243,244,246,248,253,261,266,267,268,270,271,272,272,272,272,272,272,272,273,273,273,273,273,273,273
147,"Trinidad and Tobago",0,0,0,0,0,0,0,0,0,3,6,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,10,13,19,33,51,61,70,79,90,95,105,108,111,112,115,118,122,122,123,125,127,128,131,134,134,135,138,139,139,139,140,140,142,145,145,150,157,171,203,276,365,470,564,656,732,800,879,935,990,1032,1070,1129,1173,1219,1274,1325,1368,1413,1451,1500,1540,1593,1639,1682,1764,1850,1947,2090,2236,2383,2560,2738,2883,3047,3180,3286,3381,3454,3519,3562,3617,3652,3681,3708,3729,3754,3774,3800,3812,3829,3847,3871,3890,3909
148,"Tunisia",0,0,0,0,0,0,0,0,1,8,18,28,37,38,42,45,45,48,48,49,49,50,50,50,50,50,50,51,51,54,68,76,93,107,138,191,276,456,626,819,1317,1794,2279,2752,3153,3526,3836,4126,4426,4765,5153,5616,6154,6680,7162,7508,7755,7974,8167,8359,8526,8705,8931,9235,9717,10231,10808,11350,11779,12182,12574,12948,13436,13960,14579,15261,16244,17354,18369,19686,20809,21745,22457,23182,23773,24158,24442,24732,24921,24996,25085,25139,25231,25272,25308,25340,25363,25398,25427,25460,25523,25576,25655,25777,25954,26229,26612,27065,27375,27702,27922,28031,28065,28165,28323,28425,28509,28533,28550,28566,28575,28628,28632
149,"Turkey",0,0,0,0,0,0,0,0,9,108,501,1101,1890,2706,3336,3739,4096,4308,4515,4669,4792,4927,5082,5206,5344,5475,5596,5710,5829,5955,6102,6284,6620,6999,7445,7929,8384,8778,9224,9727,10252,10803,11418,12219,13373,14705,16199,17851,19624,21295,22631,23832,24933,25865,26685,27377,27983,28503,28965,29421,29959,30923,32078,33702,35608,38011,40504,42746,44537,46071,47271,48068,48668,49122,49524,49874,50192,50488,50879,51332,52088,53005,54327,55958,57837,59643,61361,62938,64467,65984,67437,68917,70410,71927,73342,74847,76233,77645,78969,80244,81258,82506,83529,84622,85784,87045,88533,90266,92188,94026,95379,96349,97182,97736,98119,98377,98551,98676,98771,98837,98890,98925,98955
150,"Uganda",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,6,13,20,29,39,52,63,71,79,93,96,99,111,131,144,168,201,206,220,230,245,274,301,304,317,324,327,328,333,334,334,334,334,335,335,337,338,341,342,346,347,350,362,374,423,626,868,1111,2090,2324,2526,2690,2785,2863,2931,2985,3041,3092,3123,3143,3159,3174,3182,3198,3215,3226,3237,3256,3252,3254,3267,3272,3274,3297,3337,3394,3465,3523,3552,3575,3582,3585,3590,3594,3595,3595,3596,3596,3597,3597,3597,3598,3598,3598,3602
151,"Ukraine",0,0,0,0,0,0,0,1,3,9,32,73,133,201,279,376,497,605,696,785,890,1004,1121,1243,1389,1496,1610,1733,1906,2076,2286,2540,2863,3206,3585,3988,4451,5010,5669,6463,7399,8553,9806,11149,12485,13877,15528,17072,18389,19498,20526,21637,22830,23769,24735,25578,26404,27306,28392,29684,31344,33363,35729,38479,41278,43884,46281,48095,49881,51260,52414,53211,53758,54142,54473,54735,54949,55151,55347,55556,55836,56126,56457,56847,57236,57735,58363,59202,60380,62157,64367,67597,71710,76175,81054,85847,89911,93426,96427,98769,100727,102300,103523,104663,105693,106690,107907,109483,111261,112459,112459,112459,112459,112459,112459,112459,112459,112459,112459,112459,112459,112459,112459
152,"United Arab Emirates",0,0,0,0,0,0,0,0,2,2,10,20,37,71,119,185,214,244,262,275,288,301,311,321,331,338,343,351,356,361,372,379,388,399,404,411,426,443,459,475,495,514,528,548,569,589,609,634,655,674,702,740,783,838,914,1001,1108,1213,1310,1388,1433,1477,1504,1529,1550,1569,1591,1610,1629,1648,1673,1696,1724,1752,1792,1831,1860,1896,1916,1949,1971,1997,2018,2036,2045,2062,2073,2089,2100,2113,2118,2129,2136,2139,2143,2144,2145,2148,2151,2151,2156,2165,2173,2188,2211,2239,2262,2284,2293,2301,2301,2302,2302,2302,2302,2302,2302,2302,2302,2302,2302,2302,2302
153,"United Kingdom",0,0,0,0,0,0,2,29,254,1466,5281,11677,18083,23689,28036,31250,33833,35660,37467,38648,39422,39930,40373,40698,40921,41069,41188,41287,41358,41446,41509,41585,41638,41712,41848,42060,42407,42850,43669,44835,46645,48978,51858,54721,58127,61111,64123,67174,70513,74682,80999,88747,97517,105776,112305,117128,120593,122939,124654,125701,126359,126813,127068,127324,127508,127670,127782,127863,127937,127978,128037,128099,128160,128234,128353,128471,128665,128960,129418,129948,130585,131210,131909,132699,133485,134470,135479,136467,137297,138101,138940,139878,140981,142174,143274,144308,145167,146001,146844,147632,148334,149251,150538,152395,154296,156136,158781,160076,161074,161797,162582,163317,164099,165046,166168,170367,172014,173985,175552,176860,177904,178636,179128
154,"Uruguay",0,0,0,0,0,0,0,0,0,1,5,7,9,14,17,18,19,22,22,23,23,25,26,28,30,33,34,35,37,38,42,44,45,45,46,47,48,50,51,53,58,61,64,69,75,81,91,114,147,201,248,298,367,431,481,533,569,603,645,698,776,901,1071,1414,1848,2283,2669,3082,3419,3811,4176,4583,4956,5241,5474,5663,5807,5879,5927,5964,5986,6001,6016,6027,6034,6039,6048,6052,6057,6063,6067,6071,6077,6085,6101,6112,6125,6132,6142,6153,6163,6172,6189,6225,6303,6436,6625,6744,6865,6961,7040,7090,7134,7150,7162,7181,7193,7197,7203,7210,7213,7215,7227
155,"US",0,0,0,0,0,1,17,58,475,3018,11165,25786,40955,56446,69810,82066,92060,100524,107056,112966,118083,122265,126133,129801,135083,140628,147106,155013,162272,169354,175511,181814,187630,192741,198151,203457,208290,213321,218468,224235,230168,237389,245285,256091,266879,282537,300092,319297,335832,354728,377090,400577,422374,444320,465750,483363,496525,510501,522515,531177,538278,545256,551029,557901,562906,567918,572781,577463,581498,585393,589895,593151,595658,597737,599837,601500,603079,604996,606895,609439,613029,617644,624893,633973,645050,656972,671047,685486,699228,710907,722569,734330,743628,752163,760626,768696,774425,786450,795594,804949,815292,824702,836679,850790,865904,883633,901073,917768,933354,945735,955704,964723,971760,977211,981962,985860,989003,991666,994070,997944,999781,1002188,1004726
156,"Uzbekistan",0,0,0,0,0,0,0,0,0,2,2,4,5,8,9,10,11,13,14,17,19,19,20,31,57,83,111,147,187,225,267,307,343,384,427,452,477,502,522,544,566,581,594,603,608,611,612,612,612,614,616,619,621,621,621,622,622,622,622,622,622,625,630,634,636,642,650,662,667,680,688,696,705,718,727,745,767,793,826,874,923,970,1015,1064,1106,1148,1184,1218,1245,1266,1285,1302,1321,1336,1354,1373,1395,1416,1434,1456,1477,1485,1492,1513,1536,1558,1581,1599,1617,1630,1637,1637,1637,1637,1637,1637,1637,1637,1637,1637,1637,1637,1637
157,"Venezuela",0,0,0,0,0,0,0,0,0,2,7,9,9,10,10,10,10,10,14,22,24,33,42,62,85,110,138,169,215,276,323,375,420,477,539,600,649,691,731,770,798,824,848,869,892,916,949,984,1013,1032,1061,1101,1142,1183,1228,1273,1312,1341,1378,1430,1483,1555,1647,1759,1888,2028,2155,2280,2366,2499,2615,2708,2814,2943,3055,3173,3278,3362,3475,3591,3694,3789,3886,3986,4072,4192,4275,4395,4483,4606,4693,4800,4884,4955,5019,5073,5131,5186,5234,5272,5312,5331,5348,5376,5402,5436,5481,5529,5602,5631,5647,5656,5666,5677,5685,5693,5701,5705,5709,5709,5711,5716,5720
158,"Vietnam",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,24,26,32,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,36,42,47,53,58,64,74,84,112,225,370,1306,3250,5437,7540,10405,12793,15018,16857,18400,19601,20442,21131,21620,22030,22470,23018,23685,24692,26061,27611,29351,31007,32610,34117,35480,36596,37547,38261,38862,39423,40050,40726,41290,41817,42258,42563,42794,42934,43004,43041,43055,43065,43075,43078
159,"Zambia",0,0,0,0,0,0,0,0,0,0,1,2,2,3,3,7,7,7,7,7,10,11,21,30,42,120,139,165,203,260,279,284,292,312,330,332,333,337,346,348,349,349,350,356,357,364,366,373,382,392,464,537,627,745,839,940,1016,1081,1116,1153,1178,1198,1215,1226,1234,1245,1251,1257,1260,1267,1276,1303,1365,1595,1967,2397,2775,3052,3250,3389,3474,3521,3573,3591,3614,3629,3638,3645,3649,3653,3658,3659,3661,3663,3664,3667,3667,3667,3669,3678,3697,3740,3798,3852,3890,3914,3928,3937,3943,3951,3958,3960,3962,3966,3967,3967,3973,3974,3976,3982,3983,3984,3985
160,"Zimbabwe",0,0,0,0,0,0,0,0,0,1,1,3,3,4,4,4,4,4,4,4,4,4,6,8,18,25,34,69,102,130,153,196,206,224,225,227,228,230,231,236,243,251,257,265,275,291,307,318,341,377,483,683,974,1193,1316,1398,1432,1463,1485,1501,1510,1519,1524,1538,1552,1556,1568,1576,1582,1586,1594,1605,1632,1666,1725,1859,2126,2588,3050,3532,3826,4090,4236,4390,4466,4536,4563,4603,4625,4636,4657,4663,4675,4685,4696,4699,4704,4709,4735,4779,4885,5017,5148,5238,5292,5333,5362,5374,5386,5393,5397,5412,5426,5436,5446,5457,5462,5468,5469,5473,5482,5489,5500
161,"Dominica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,6,8,13,21,26,28,30,32,32,34,35,37,39,42,42,44,47,47,48,49,51,51,53,57,57,61,62,62,63,63,63,63,63,63,63,63,63,65
