place,week_ahead,quantile,value
Oregon,4,0.1,2293.50889748996
Oregon,4,0.25,3037.10989385622
Oregon,4,0.5,4673
Oregon,4,0.75,4958.567323926
Oregon,4,0.9,6002.91174232365
Oregon,4,0.975,6056.85495936034
Oregon,5,point,4575
Oregon,5,0.025,1935.81003670801
Oregon,5,0.1,1943.72417195537
Oregon,5,0.25,2716.6035692224
Oregon,5,0.5,4575
Oregon,5,0.75,4918.33251895251
Oregon,5,0.9,6200.23407556134
Oregon,5,0.975,6272.4866692019
Oregon,6,point,4475
Oregon,6,0.025,1717.56775264007
Oregon,6,0.1,1725.64383612355
Oregon,6,0.25,2508.90069174481
Oregon,6,0.5,4475
Oregon,6,0.75,4847.02221169742
Oregon,6,0.9,6247.22561172065
Oregon,6,0.975,6328.58116599191
Oregon,7,point,4371
Oregon,7,0.025,1524.20043243099
Oregon,7,0.1,1532.29308496569
Oregon,7,0.25,2314.47369369376
Oregon,7,0.5,4371
Oregon,7,0.75,4770.53071713947
Oregon,7,0.9,6288.09416089351
Oregon,7,0.975,6379.40915481602
Florida,1,point,55327
Florida,1,0.025,52477.8680307439
Florida,1,0.1,52860.4415492802
Florida,1,0.25,54400.7437614667
Florida,1,0.5,55327
Florida,1,0.75,59847.7090618915
Florida,1,0.9,96568.2422632989
Florida,1,0.975,97800.1979582126
Florida,2,point,49174
Florida,2,0.025,45870.1477907649
Florida,2,0.1,46313.8511448643
Florida,2,0.25,48124.3042550207
Florida,2,0.5,49174
Florida,2,0.75,54283.5754410173
Florida,2,0.9,96997.129653936
Florida,2,0.975,98613.9479816897
Florida,3,point,43478
Florida,3,0.025,39820.4931941792
Florida,3,0.1,40308.2857324676
Florida,3,0.25,42281.2114717018
Florida,3,0.5,43478
Florida,3,0.75,49015.3069816169
Florida,3,0.9,97015.054653755
Florida,3,0.975,98977.7071445365
Florida,4,point,38410
Florida,4,0.025,34063.7825311565
Florida,4,0.1,34647.3661980533
Florida,4,0.25,37093.592419237
Florida,4,0.5,38410
Florida,4,0.75,44916.8875701352
Florida,4,0.9,102973.453226081
Florida,4,0.975,105653.070769429
Florida,5,point,33845
Florida,5,0.025,29056.9348955299
Florida,5,0.1,29686.7107149793
Florida,5,0.25,32196.2211237524
Florida,5,0.5,33845
Florida,5,0.75,40842.6209902767
Florida,5,0.9,109590.922364871
Florida,5,0.975,113291.701686844
Florida,6,point,29779
Florida,6,0.025,24778.3735180038
Florida,6,0.1,25429.0661935129
Florida,6,0.25,27953.9164445674
Florida,6,0.5,29779
Florida,6,0.75,36996.0724105978
Florida,6,0.9,111554.303276306
Florida,6,0.975,115766.628074806
Florida,7,point,26160
Florida,7,0.025,21048.5023337291
Florida,7,0.1,21707.061614145
Florida,7,0.25,24199.8933475289
Florida,7,0.5,26160
Florida,7,0.75,33490.7050213321
Florida,7,0.9,112670.807093126
Florida,7,0.975,117363.438082368
New York,1,point,58865
New York,1,0.025,52121.1855143755
New York,1,0.1,52439.5956782832
New York,1,0.25,56465.6195655213
New York,1,0.5,58865
New York,1,0.75,65870.9850616805
New York,1,0.9,124946.08644034
New York,1,0.975,126584.224036797
New York,2,point,49830
New York,2,0.025,42384.094093131
New York,2,0.1,42752.8383899711
New York,2,0.25,47354.3582909894
New York,2,0.5,49830
New York,2,0.75,57884.8111473006
New York,2,0.9,128228.911779893
New York,2,0.975,130491.116860425
New York,3,point,41493
New York,3,0.025,33597.606945784
New York,3,0.1,34002.6967860512
New York,3,0.25,39016.5094806834
New York,3,0.5,41493
New York,3,0.75,50370.9620764593
New York,3,0.9,128289.213330189
New York,3,0.975,131080.264640852
New York,4,point,34731
New York,4,0.025,25820.6876828775
New York,4,0.1,26300.5859375369
New York,4,0.25,32229.8732836316
New York,4,0.5,34731
New York,4,0.75,45308.0930206269
New York,4,0.9,140388.998046162
New York,4,0.975,144554.760055448
New York,5,point,28987
New York,5,0.025,19731.920115736
New York,5,0.1,20250.6084257785
New York,5,0.25,26556.6643520587
New York,5,0.5,28987
New York,5,0.75,40647.3565737851
New York,5,0.9,157223.682810987
New York,5,0.975,163273.378102879
New York,6,point,24111
New York,6,0.025,14736.7030661626
New York,6,0.1,15272.9640406639
New York,6,0.25,21753.6454608034
New York,6,0.5,24111
New York,6,0.75,36284.6189463985
New York,6,0.9,163801.497432043
New York,6,0.975,170734.410510408
New York,7,point,20082
New York,7,0.025,10766.9974784177
New York,7,0.1,11308.7632125403
New York,7,0.25,17840.3357919398
New York,7,0.5,20082
New York,7,0.75,32579.7287938111
New York,7,0.9,167885.200643206
New York,7,0.975,175750.948903441
Rhode Island,1,point,2683
Rhode Island,1,0.025,1737.60887371683
Rhode Island,1,0.1,1781.30357332163
Rhode Island,1,0.25,2159.57180419445
Rhode Island,1,0.5,2683
Rhode Island,1,0.75,5166.97878578083
Rhode Island,1,0.9,6404.67404227274
Rhode Island,1,0.975,6678.29301508486
Rhode Island,2,point,2410
Rhode Island,2,0.025,1403.77548609109
Rhode Island,2,0.1,1449.61112602965
Rhode Island,2,0.25,1862.80195610866
Rhode Island,2,0.5,2410
Rhode Island,2,0.75,5467.26037022043
Rhode Island,2,0.9,7204.04035327094
Rhode Island,2,0.975,7638.12044595299
Rhode Island,3,point,1890
Rhode Island,3,0.025,850.072428204865
Rhode Island,3,0.1,896.348674042594
Rhode Island,3,0.25,1336.63144843925
Rhode Island,3,0.5,1890
Rhode Island,3,0.75,5319.55117831967
Rhode Island,3,0.9,7857.00140180316
Rhode Island,3,0.975,8508.60583616122
Rhode Island,4,point,1517
Rhode Island,4,0.025,398.767050071888
Rhode Island,4,0.1,447.237712265036
Rhode Island,4,0.25,956.947647975107
Rhode Island,4,0.5,1517
Rhode Island,4,0.75,5859.71747548898
Rhode Island,4,0.9,9716.62479452886
Rhode Island,4,0.975,10826.2399788009
Rhode Island,5,point,1288
Rhode Island,5,0.025,155.361537512328
Rhode Island,5,0.1,201.586165491831
Rhode Island,5,0.25,695.623993132457
Rhode Island,5,0.5,1288
Rhode Island,5,0.75,6524.79367410272
Rhode Island,5,0.9,11961.6955846591
Rhode Island,5,0.975,13702.357670315
Rhode Island,6,point,1013
Rhode Island,6,0.025,0
Rhode Island,6,0.1,0
Rhode Island,6,0.25,418.887879629281
Rhode Island,6,0.5,1013
Rhode Island,6,0.75,6734.25241556182
Rhode Island,6,0.9,12959.2466132889
Rhode Island,6,0.975,15008.4053248486
Rhode Island,7,point,832
Rhode Island,7,0.025,0
Rhode Island,7,0.1,0
Rhode Island,7,0.25,246.019702221936
Rhode Island,7,0.5,832
Rhode Island,7,0.75,6867.96817956936
Rhode Island,7,0.9,14089.94905563
Rhode Island,7,0.975,16517.0061869457
Georgia,1,point,29709
Georgia,1,0.025,27740.7950226532
Georgia,1,0.1,27946.7247271297
Georgia,1,0.25,29171.8424991796
Georgia,1,0.5,29709
Georgia,1,0.75,33873.556461045
Georgia,1,0.9,55220.6434102034
Georgia,1,0.975,55862.9424150177
Georgia,2,point,24497
Georgia,2,0.025,22349.4060482937
Georgia,2,0.1,22582.485281499
Georgia,2,0.25,23986.2442506912
Georgia,2,0.5,24497
Georgia,2,0.75,29194.764375837
Georgia,2,0.9,54644.1206432743
Georgia,2,0.975,55518.0534360424
Georgia,3,point,19956
Georgia,3,0.025,17694.3099624543
Georgia,3,0.1,17945.6626235603
Georgia,3,0.25,19465.983687219
Georgia,3,0.5,19956
Georgia,3,0.75,25032.4271156499
Georgia,3,0.9,54265.3967664789
Georgia,3,0.975,55405.0688385886
Georgia,4,point,16273
Georgia,4,0.025,13744.47609741
Georgia,4,0.1,14034.9051841866
Georgia,4,0.25,15825.4663024308
Georgia,4,0.5,16273
Georgia,4,0.75,22157.2750564776
Georgia,4,0.9,58974.1434711869
Georgia,4,0.975,60658.3686898463
Georgia,5,point,13284
Georgia,5,0.025,10678.8601677919
Georgia,5,0.1,10985.4829119256
Georgia,5,0.25,12837.7571030387
Georgia,5,0.5,13284
Georgia,5,0.75,19578.6001408377
Georgia,5,0.9,63943.5080653794
Georgia,5,0.975,66317.8051528601
Georgia,6,point,10798
Georgia,6,0.025,8171.69461659744
Georgia,6,0.1,8484.89361029271
Georgia,6,0.25,10353.3618297853
Georgia,6,0.5,10798
Georgia,6,0.75,17273.1703998934
Georgia,6,0.9,65682.0716016138
Georgia,6,0.975,68404.5363249882
Georgia,7,point,8791
Georgia,7,0.025,6184.51311372479
Georgia,7,0.1,6497.26916552133
Georgia,7,0.25,8341.99927130503
Georgia,7,0.5,8791
Georgia,7,0.75,15325.4311597868
Georgia,7,0.9,67285.2446879893
Georgia,7,0.975,70392.2529336121
New Hampshire,1,point,2988
New Hampshire,1,0.025,2758.15502791825
New Hampshire,1,0.1,2765.4552726225
New Hampshire,1,0.25,2797.81472326511
New Hampshire,1,0.5,2988
New Hampshire,1,0.75,3202.08535754367
New Hampshire,1,0.9,4003.7306884216
New Hampshire,1,0.975,4038.09347957394
New Hampshire,2,point,2641
New Hampshire,2,0.025,2387.11777389102
New Hampshire,2,0.1,2395.72906229182
New Hampshire,2,0.25,2430.59502290458
New Hampshire,2,0.5,2641
New Hampshire,2,0.75,2882.67160760417
New Hampshire,2,0.9,3824.42240905395
New Hampshire,2,0.975,3868.49490958478
New Hampshire,3,point,2322
New Hampshire,3,0.025,2049.77860451829
New Hampshire,3,0.1,2059.51326137371
New Hampshire,3,0.25,2096.04442777072
New Hampshire,3,0.5,2322
New Hampshire,3,0.75,2586.69907952161
