id,Region,2020-03-11,2020-03-18,2020-03-25,2020-04-01,2020-04-08,2020-04-15,2020-04-22,2020-04-29,2020-05-06,2020-05-13,2020-05-20,2020-05-27,2020-06-03,2020-06-10,2020-06-17
17,"Benin",0.0585555436824603,NaN,0.229569278676836,0.0451190923997767,NaN,0.177817187262859,0.0639827259662551,0.0664508200820082,0.244323776909818,NaN,NaN,0.165278970941349,0.0521092973425437,0.632629340168053,NaN
18,"Bhutan",0.389161625333232,0.109762956846474,NaN,0.207787931520044,0.192558923729337,0.2166354748907,0.0692997861136095,0.188761124417866,0.473602793441959,0.111250041726435,0.194671698256571,0.0268190850121888,0.0500393764862528,0.022950285027477,0.107609608603661
19,"Bolivia",0.284399772334353,0.443061350016427,0.0526090655200329,0.0931903410326347,0.0115703390358426,0.053323010226147,NaN,NaN,0.021742006263608,0.0224361015995458,0.00835722275048911,0.0146369465699407,0.0382323249520871,0.00125178875019571,0.00576475865215831
20,"Bosnia and Herzegovina",NaN,0.163838096585244,0.0979865802063538,0.104750644191068,0.0904502320105438,0.0828506851418555,0.0736507667936164,0.0213429933285119,0.0652813915032002,0.0628259378591757,0.0605228643220732,0.0581471380656318,0.0434209071040158,0.0128887122125616,0.0160807050441549
21,"Brazil",NaN,0.0333247827983081,0.0927564074989062,0.0674613200377419,0.0605121644850122,0.040360407350114,0.0100858436461158,0.0183372512675373,0.00315470919924676,0.0149873996126204,0.0113131214136,0.0177023011254267,0.0253373282089968,0.025336499412574,0.00312094875341096
22,"Brunei",0.02452087347499,0.176256611123878,0.0740709870825563,0.0683904382425265,0.157280839007821,0.0571277442156873,0.111226143555797,0.138910247140132,0.103718683700068,0.00129910760824628,0.00129763858568427,0.00129608513812441,0.00129445420541127,0.00129275235886818,0.00129098577713646
23,"Bulgaria",0.241213798726914,0.178318975728155,0.121795054088254,0.100172292750669,0.0846066054193066,0.0111782761305237,NaN,0.068094067367108,0.0616659819396539,0.0576574720432999,0.0575729528595929,0.0568113349837679,0.0181324101139191,0.026221516826249,0.0182116845438083
24,"Burkina Faso",3.12039944123655,NaN,0.178979327503942,0.122677524098557,0.0230615519184361,0.0983945580585029,0.0951291192788382,0.0943715481221822,0.0459926672857215,0.0833030533345223,0.0833181780110264,0.0132009176154049,0.0789811071921807,0.0619827329280888,0.0213469489875604
25,"Cabo Verde",0.654353989921825,0.2620267347973,0.243377037887526,0.195104644373123,0.609811737658685,0.333602378589006,0.163458954034611,0.0280700876781719,0.0319604883543925,0.0925747512597538,0.084326746301851,0.0238624420003521,0.0134511368283392,0.00489673499253707,0.0556360270299483
26,"Cambodia",0.286673380434883,0.0909846021385065,0.092499338450504,0.200776363340261,0.189702961033461,0.181407443438922,0.174309310768164,0.00251121194352668,0.00249014851766366,0.164346892052135,0.093265785587981,0.0847891405958793,0.144612042435775,0.0575440679360861,0.255971666703962
