id,Country,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30,2020-09-06
49,"Equatorial Guinea",12,12,12,12,12,12,12,12,12,12,12,12,12,12
50,"Eritrea",0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,"Estonia",71,73,76,79,81,83,85,87,89,91,93,94,96,97
52,"Eswatini",3,4,4,4,5,5,5,6,6,7,7,8,8,8
53,"Ethiopia",20,40,80,166,345,717,1485,3032,6014,11307,19436,29486,38980,45853
54,"Fiji",0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,"Finland",325,332,340,347,354,361,368,375,381,387,393,399,405,410
56,"France",29157,29809,30523,31229,31909,32558,33175,33762,34317,34840,35333,35796,36230,36635
57,"Gabon",19,21,21,22,22,22,22,22,22,22,22,22,22,22
58,"Gambia",1,1,1,1,1,1,1,1,1,1,1,1,1,1
59,"Georgia",12,12,12,12,12,12,12,12,12,12,12,12,12,12
60,"Germany",8712,8855,8970,9059,9128,9181,9222,9254,9278,9297,9312,9323,9332,9339
61,"Ghana",40,45,52,59,68,79,91,106,122,142,164,189,217,248
62,"Greece",184,188,190,191,192,192,193,193,193,193,193,193,193,193
63,"Guatemala",175,260,345,430,513,595,676,755,832,908,981,1051,1119,1185
64,"Guinea",26,29,33,37,41,46,51,56,62,68,75,82,89,97
65,"Guyana",13,13,14,15,16,16,16,17,17,17,18,18,18,18
66,"Haiti",69,123,232,452,877,1660,2969,4863,7103,9202,10761,11719,12234,12491
67,"Holy See",0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,"Honduras",251,291,342,402,473,558,659,776,911,1066,1241,1435,1647,1875
69,"Hungary",553,578,596,611,622,632,640,646,651,655,658,661,663,665
70,"Iceland",10,10,10,10,10,10,10,10,10,10,10,10,10,10
71,"India",7060,9079,11515,14446,17965,22173,27186,33130,40137,48343,57878,68856,81364,95445
