"date","location","value","min_suppressed","race_ethnicity","target"
2020-05-16,"37",38,0,"white","inc death"
2020-05-23,"37",0,2,"other","inc death"
2020-05-23,"37",0,1,"asian","inc death"
2020-05-23,"37",36,0,"black","inc death"
2020-05-23,"37",42,0,"white","inc death"
2020-05-30,"37",16,1,"other","inc death"
2020-05-30,"37",0,1,"asian","inc death"
2020-05-30,"37",41,0,"black","inc death"
2020-05-30,"37",76,0,"white","inc death"
2020-06-06,"37",11,1,"other","inc death"
2020-06-06,"37",0,1,"asian","inc death"
2020-06-06,"37",31,0,"black","inc death"
2020-06-06,"37",54,1,"white","inc death"
2020-06-13,"37",11,2,"other","inc death"
2020-06-13,"37",0,2,"asian","inc death"
2020-06-13,"37",32,0,"black","inc death"
2020-06-13,"37",37,0,"white","inc death"
2020-06-20,"37",24,2,"other","inc death"
2020-06-20,"37",0,1,"asian","inc death"
2020-06-20,"37",23,1,"black","inc death"
2020-06-20,"37",32,0,"white","inc death"
2020-06-27,"37",18,1,"other","inc death"
2020-06-27,"37",0,2,"asian","inc death"
2020-06-27,"37",26,0,"black","inc death"
2020-06-27,"37",42,0,"white","inc death"
2020-07-04,"37",13,1,"other","inc death"
2020-07-04,"37",0,1,"asian","inc death"
2020-07-04,"37",26,1,"black","inc death"
2020-07-04,"37",39,0,"white","inc death"
2020-07-11,"37",12,2,"other","inc death"
2020-07-11,"37",0,1,"asian","inc death"
2020-07-11,"37",37,0,"black","inc death"
2020-07-11,"37",64,0,"white","inc death"
2020-07-18,"37",19,2,"other","inc death"
2020-07-18,"37",0,1,"asian","inc death"
2020-07-18,"37",47,0,"black","inc death"
2020-07-18,"37",66,0,"white","inc death"
2020-07-25,"37",23,2,"other","inc death"
2020-07-25,"37",0,1,"asian","inc death"
2020-07-25,"37",47,0,"black","inc death"
2020-07-25,"37",99,0,"white","inc death"
2020-08-01,"37",13,1,"other","inc death"
2020-08-01,"37",0,1,"asian","inc death"
2020-08-01,"37",54,0,"black","inc death"
2020-08-01,"37",110,0,"white","inc death"
2020-08-08,"37",19,2,"other","inc death"
2020-08-08,"37",0,1,"asian","inc death"
2020-08-08,"37",47,0,"black","inc death"
2020-08-08,"37",99,0,"white","inc death"
2020-08-15,"37",17,0,"other","inc death"
2020-08-15,"37",0,1,"asian","inc death"
2020-08-15,"37",51,0,"black","inc death"
2020-08-15,"37",114,0,"white","inc death"
2020-08-22,"37",13,1,"other","inc death"
2020-08-22,"37",0,1,"asian","inc death"
2020-08-22,"37",48,0,"black","inc death"
2020-08-22,"37",120,0,"white","inc death"
2020-08-29,"37",11,1,"other","inc death"
2020-08-29,"37",0,1,"asian","inc death"
2020-08-29,"37",47,0,"black","inc death"
2020-08-29,"37",105,0,"white","inc death"
2020-09-05,"37",0,2,"other","inc death"
2020-09-05,"37",0,1,"asian","inc death"
2020-09-05,"37",65,0,"black","inc death"
2020-09-05,"37",105,0,"white","inc death"
2020-09-12,"37",0,2,"other","inc death"
2020-09-12,"37",0,1,"asian","inc death"
2020-09-12,"37",45,0,"black","inc death"
2020-09-12,"37",118,0,"white","inc death"
2020-09-19,"37",0,3,"other","inc death"
2020-09-19,"37",0,1,"asian","inc death"
2020-09-19,"37",56,0,"black","inc death"
2020-09-19,"37",129,0,"white","inc death"
2020-09-26,"37",0,2,"other","inc death"
